分类,研报标题,类型,评级,分享时间,来源页,抓取时间,摘要,作者,页数,日期,分享者
今日热门,克而瑞研究中心-中国房地产行业土地周报：供求规模延续年中高位，武汉刷新楼板价前二纪录-250806,行业分析,,2025-08-07,3,2025-08-07 09:12:29,,,,,
今日热门,克而瑞研究中心-中国房地产行业土地周报：周度溢价率近4个月新高，上海刷新全国地价纪录-250806,行业分析,,2025-08-07,3,2025-08-07 09:12:29,,,,,
今日热门,克而瑞研究中心-房地产行业：本月看点-250806,行业分析,,2025-08-07,3,2025-08-07 09:12:29,,,,,
今日热门,光大证券-海信家电-000921-2025年半年报点评：内销短期承压，海外持续发力-250807,公司调研,增持,2025-08-07,3,2025-08-07 09:12:29,,,,,
今日热门,东方金诚-可转债专题：上市公司融资定转破冰，定向可转债市场迎来新机遇-250805,债券研究,,2025-08-07,3,2025-08-07 09:12:29,,,,,
今日热门,华西证券-保险行业2025年中报前瞻：资负两端延续回暖，业绩稳健增长-250807,行业分析,推荐,2025-08-07,3,2025-08-07 09:12:29,,,,,
今日热门,华宝证券-新股发行及今日交易提示-250807,新股研究,,2025-08-07,3,2025-08-07 09:12:29,,,,,
今日热门,天风证券-策略专题：AI主线归来的探讨-250807,投资策略,,2025-08-07,3,2025-08-07 09:12:29,,,,,
今日热门,江海证券-博迅生物-836504-深耕生命科学仪器领域，技术与需求共振开启增长空间-250807,公司调研,持有（首次）,2025-08-07,3,2025-08-07 09:12:29,,,,,
本周热门,国信证券-基础化工行业专题：PCB上游材料分析框架-250730,行业分析,优于大市（首次）,2025-07-30,1,2025-08-07 09:12:33,,,,,
本周热门,华西证券-计算机行业：从Figma IPO看AI应用产业机遇-250730,行业分析,,2025-07-31,1,2025-08-07 09:12:33,,,,,
本周热门,太平洋证券-稀土行业深度：稀土产业链，优势在我-250731,行业分析,,2025-08-01,1,2025-08-07 09:12:33,,,,,
本周热门,东方证券-传媒行业AI产业研究系列（二）字节跳动AI应用篇：字节AI应用流量领先，下半年看好垂类应用变现提速-250730,行业分析,看好,2025-07-31,1,2025-08-07 09:12:33,,,,,
本周热门,国投证券-电子行业深度分析：被动散热材料持续迭代，液冷成为主动散热新增长点-250731,行业分析,领先大市-A,2025-07-31,1,2025-08-07 09:12:33,,,,,
本周热门,财通证券-电解铝行业深度报告：成本下行盈利修复，紧平衡格局延续-250731,行业分析,看好,2025-08-01,1,2025-08-07 09:12:33,,,,,
本周热门,金元证券-卫星互联网行业深度报告：卫星互联网——低空经济下的通感解决方案-250731,行业分析,增持,2025-08-01,1,2025-08-07 09:12:33,,,,,
本周热门,财通证券-国防军工行业周报：福建舰入列在即，军工AI商业航天催化不断-250803,行业分析,看好,2025-08-04,1,2025-08-07 09:12:33,,,,,
本周热门,慧博智能投研-军贸行业深度：供需格局、产业机遇、市场空间及相关公司深度梳理-250801,行业分析,,2025-08-01,1,2025-08-07 09:12:33,,,,,
本周热门,光大证券-人形机器人行业跟踪报告（九）：人形机器人关节传动新方向，摆线减速器-250805,行业分析,买入,2025-08-05,1,2025-08-07 09:12:33,,,,,
本周热门,国金证券-电力设备与新能源行业研究：雅下水电万亿工程重构能源版图，带动GIL/特高压等千亿级需求-250802,行业分析,买入,2025-08-03,1,2025-08-07 09:12:33,,,,,
本周热门,光大证券-2025年8月策略观点：新高在途-250802,投资策略,,2025-08-03,1,2025-08-07 09:12:33,,,,,
本周热门,天风证券-白酒行业：深度调整期行业迎4大变化，重视白酒相对底部机会-250731,行业分析,强于大市,2025-07-31,1,2025-08-07 09:12:33,,,,,
本周热门,东吴证券-上海洗霸-603200-洗尽尘沙，鳞爪已现，霸业共襄-250806,公司调研,买入（首次）,2025-08-06,1,2025-08-07 09:12:33,,,,,
本周热门,国元证券-汽车行业深度报告：智能汽车产业链与具身智能产业链协同发展-250801,行业分析,,2025-08-01,1,2025-08-07 09:12:33,,,,,
本周热门,财通证券-蓄力新高6：“三心”筑牛市-250803,投资策略,,2025-08-03,1,2025-08-07 09:12:33,,,,,
本周热门,国信证券-医药生物行业海内外CXO复盘：从短期、中期、长期维度看中国CXO的全球竞争力-250804,行业分析,优于大市,2025-08-04,1,2025-08-07 09:12:33,,,,,
本周热门,中邮证券-基础化工行业PEEK：工程塑料的“皇冠”，人形机器人提需求-250804,行业分析,强于大市,2025-08-04,1,2025-08-07 09:12:33,,,,,
本周热门,天风证券-有色金属行业首席联盟培训框架-250802,行业分析,强于大市（首次）,2025-08-02,1,2025-08-07 09:12:33,,,,,
本周热门,慧博智能投研-卫星互联网行业深度：相关进展、复盘启示、预期部署及相关公司深度梳理-250804,行业分析,,2025-08-04,1,2025-08-07 09:12:33,,,,,
本周热门,华西证券-食品饮料行业：白酒十年复盘，本轮何去何从———业绩复盘、行业轨迹、现状展望-250804,行业分析,推荐,2025-08-05,1,2025-08-07 09:12:33,,,,,
本周热门,东吴证券-水固气行业深度：拨云见日，现真金-250730,行业分析,,2025-07-31,1,2025-08-07 09:12:33,,,,,
本周热门,华西证券-稀土磁材行业深度系列报告—上游矿山资源篇-250730,行业分析,,2025-07-30,1,2025-08-07 09:12:33,,,,,
本周热门,国元证券-智能汽车行业车载SOC芯片深度报告：智能汽车引领进化，SOC芯片加速国产化-250805,行业分析,,2025-08-05,1,2025-08-07 09:12:33,,,,,
本周热门,东方证券-机械设备行业机器人产业跟踪：AI投资应用加速，看好机器人板块-250804,行业分析,看好,2025-08-05,1,2025-08-07 09:12:33,,,,,
本周热门,东吴证券-医药生物行业跟踪周报：百济、恒瑞等创新药龙头为何要创2021年新高？-250803,行业分析,增持,2025-08-04,1,2025-08-07 09:12:33,,,,,
本周热门,东方证券-医药行业周专题：国产创新药具备全球竞争力，出海正盛-250801,行业分析,看好,2025-08-01,1,2025-08-07 09:12:33,,,,,
本周热门,民生证券-计算机行业动态报告：GPT5前瞻之AI编程，Coding~Agent无招胜有招，万般应用皆破局-250730,行业分析,推荐,2025-07-30,1,2025-08-07 09:12:33,,,,,
本周热门,国金证券-功能价值系列之AI+床垫行业研究：华为小米巨头入场加速破圈，脑机传感技术升维打开创新空间-250801,行业分析,买入,2025-08-01,1,2025-08-07 09:12:33,,,,,
本周热门,东吴证券-永辉超市-601933-拟定增融资40亿元，主要用于支持门店调改-250731,公司调研,增持,2025-07-30,1,2025-08-07 09:12:33,,,,,
本周热门,东莞证券-复合集流体行业深度报告：新型锂电材料，产业化有望提速-250731,行业分析,超配,2025-07-31,1,2025-08-07 09:12:33,,,,,
本周热门,国金证券-A股策略周报：当所有预期都回摆的时候-250803,投资策略,,2025-08-03,1,2025-08-07 09:12:33,,,,,
本周热门,万联证券-2025年中期锂电行业投资策略报告：行业盈利边际修复，固态电池突破加速-250731,行业分析,强于大市,2025-07-31,1,2025-08-07 09:12:33,,,,,
本周热门,东吴证券-计算机行业点评报告：Scale AI，AI时代卖水人-250804,行业分析,增持,2025-08-05,1,2025-08-07 09:12:33,,,,,
本周热门,天风证券-产业赛道与主题投资风向：拥挤度高位回落后的走势复盘-250802,投资策略,,2025-08-02,1,2025-08-07 09:12:33,,,,,
本周热门,天风证券-扫地机行业框架&观点深度解读-250804,行业分析,强于大市（首次）,2025-08-04,1,2025-08-07 09:12:33,,,,,
本周热门,天风证券-机械设备行业专题研究：锂电设备——从宏工、理奇、尚水招股书看锂电设备复苏、前段设备格局与固态电池布局-250804,行业分析,强于大市,2025-08-04,1,2025-08-07 09:12:33,,,,,
本周热门,民生证券-纳思达-002180-公司深度报告：被低估的国产打印机核心资产-250801,公司调研,推荐（首次）,2025-08-01,1,2025-08-07 09:12:33,,,,,
本周热门,东莞证券-汉得信息-300170-深度报告：全面布局B端AI应用体系，助力企业数字化转型-250731,公司调研,买入,2025-07-31,1,2025-08-07 09:12:33,,,,,
本周热门,天风证券-机械设备行业摩托车海外市场：十倍广袤待驰骋，品牌出海1→10开启加速-250805,行业分析,强于大市,2025-08-05,1,2025-08-07 09:12:33,,,,,
本周热门,华西证券-上游提价遭抵制-250731,宏观经济,,2025-07-31,1,2025-08-07 09:12:33,,,,,
本周热门,国信证券-氟化工行业：2025年7月月度观察，主流制冷剂价格持续上涨，8月空调排产预期上调-250731,行业分析,优于大市,2025-07-31,1,2025-08-07 09:12:33,,,,,
本周热门,东方证券-电子行业：AI算力设施需求驱动，SiC/GaN打开成长空间-250802,行业分析,看好,2025-08-02,1,2025-08-07 09:12:33,,,,,
本周热门,国信证券-食品饮料行业深度：新消费研究之三，即时零售应需而生，酒类品牌或迎新机遇-250801,行业分析,优于大市,2025-08-01,1,2025-08-07 09:12:33,,,,,
本周热门,国金证券-爱玛科技-603529-产品&渠道优化推动量价齐升，两轮电动车龙头开启新成长周期-250730,公司调研,买入（首次）,2025-07-31,1,2025-08-07 09:12:33,,,,,
本周热门,民生证券-计算机行业周报：GPT~5前瞻，为何AI编程是AI应用战略制高点-250803,行业分析,推荐,2025-08-03,1,2025-08-07 09:12:33,,,,,
本周热门,东吴证券-宏观点评：从“十五五”规划看产业趋势-250801,宏观经济,,2025-08-01,1,2025-08-07 09:12:33,,,,,
本周热门,天风证券-半导体行业：25Q2半导体持仓总结及Q3景气度展望，关注旺季下的绩优赛道-250804,行业分析,强于大市,2025-08-04,1,2025-08-07 09:12:33,,,,,
本周热门,天风证券-行业比较周报：从“预期反内卷”到“实际反内卷”-250731,投资策略,,2025-07-31,1,2025-08-07 09:12:33,,,,,
本周热门,天风证券-消费电子行业研究周报：WAIC落幕、海外科技公司业绩高增，看好AI应用端潜力-250806,行业分析,强于大市,2025-08-06,1,2025-08-07 09:12:33,,,,,
本周热门,东吴证券-恩华药业-002262-2025年中报点评：业绩稳健增长，创新药梯队蓄势待发-250731,公司调研,买入,2025-08-01,2,2025-08-07 09:12:34,,,,,
本周热门,国金证券-军工行业点评：持续看好阅兵和新质战斗力的主线行情-250805,行业分析,买入,2025-08-05,2,2025-08-07 09:12:34,,,,,
本周热门,东吴证券-机械设备行业跟踪周报：看好催化频出的固态电池设备和机器人行业；推荐估值低点景气向上的工程机械和半导体设备-250803,行业分析,增持,2025-08-03,2,2025-08-07 09:12:34,,,,,
本周热门,国信证券-光储行业研究专题：储能行业运行总结，新兴市场发展可期-250731,行业分析,优于大市,2025-07-31,2,2025-08-07 09:12:34,,,,,
本周热门,天风证券-联赢激光-688518-锂电资本开支再起航，大小钢壳电池新增量-250731,公司调研,买入,2025-07-31,2,2025-08-07 09:12:34,,,,,
本周热门,华龙证券-人形机器人行业专题研究周报：WAIC 2025成功举办，机器人应用端逐步落地-250804,行业分析,推荐,2025-08-05,2,2025-08-07 09:12:34,,,,,
本周热门,东吴证券-宏观深度报告：跨越百年的产能调整经验，如何从失衡到再平衡-250805,宏观经济,,2025-08-05,2,2025-08-07 09:12:34,,,,,
本周热门,华西证券-骄成超声-688392-超声波技术平台型公司，深度受益3D封装和固态电池-250731,公司调研,增持,2025-07-31,2,2025-08-07 09:12:34,,,,,
本周热门,开源证券-机械设备行业深度报告：机器人成为智能大会焦点，产业关注应用场景落地-250804,行业分析,看好,2025-08-04,2,2025-08-07 09:12:34,,,,,
本周热门,华金证券-全面慢牛需要具备什么条件？-250802,投资策略,,2025-08-02,2,2025-08-07 09:12:34,,,,,
本周热门,国信证券-中国居民财富搬家路线图暨非银金融行业投资机会：存款潮涌，逐险而行-250731,行业分析,优于大市,2025-07-31,2,2025-08-07 09:12:34,,,,,
本周热门,东莞证券-汽车行业车载激光雷达专题报告：成本下行叠加智驾升级，激光雷达需求有望爆发-250731,行业分析,超配,2025-07-31,2,2025-08-07 09:12:34,,,,,
本周热门,东吴证券-电力设备行业跟踪周报：固态和人形产业化加速、AIDC海外超预期-250803,行业分析,增持,2025-08-03,2,2025-08-07 09:12:34,,,,,
本周热门,天风证券-宏观数据预测专题：三季度宏观经济形态怎么看？-250804,宏观经济,,2025-08-04,2,2025-08-07 09:12:34,,,,,
本周热门,华安证券-7月30日中央政治局会议点评：无近忧，深远虑-250730,投资策略,,2025-07-31,2,2025-08-07 09:12:34,,,,,
本周热门,天风证券-基础化工行业专题研究：政策密集，多维度梳理化工子行业“反内卷”突破口-250730,行业分析,中性,2025-07-30,2,2025-08-07 09:12:34,,,,,
本周热门,东吴证券-摩托车行业深度系列第四篇：全球动力运动龙头的成长之路——春风动力复盘与展望-250806,行业分析,,2025-08-06,2,2025-08-07 09:12:34,,,,,
本周热门,华福证券-电力设备行业海风专题报告：深远海海上风电已经启航-250731,行业分析,强于大市,2025-07-31,2,2025-08-07 09:12:34,,,,,
本周热门,东吴证券-宁德时代-300750-2025年中报点评：业绩略超预期，净利率再提升，龙头恒强-250731,公司调研,买入,2025-07-31,2,2025-08-07 09:12:34,,,,,
本周热门,天风证券-泽璟制药-688266-兼具销售放量和研发成果兑现的优秀创新药企-250731,公司调研,买入,2025-07-31,2,2025-08-07 09:12:34,,,,,
本周热门,光大证券-海外机器人行业系列跟踪报告（八）：极智嘉，全球最大AMR仓储机器人厂商，全栈平台化技术+全球服务网络构建竞争力-250805,行业分析,,2025-08-05,2,2025-08-07 09:12:34,,,,,
